日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
20090812,181954,30.203312,120.216270,20.5,1,5,0.4,227.1,2.3
20090812,181955,30.203312,120.216270,20.0,1,7,0.5,226.7,2.0
20090812,181956,30.203312,120.216270,20.0,1,7,0.1,106.8,2.0
20090812,181957,30.203314,120.216270,20.0,1,6,0.3,177.3,2.1
20090812,181958,30.203314,120.216270,20.0,1,7,0.4,229.9,2.0
20090812,181959,30.203314,120.216270,20.0,1,7,0.2,227.0,2.0
20090812,182000,30.203314,120.216270,20.0,1,7,0.1,122.2,2.0
20090812,182001,30.203314,120.216270,20.0,1,7,0.0,305.5,2.0
20090812,182002,30.203314,120.216270,20.0,1,7,0.3,214.8,2.0
20090812,182003,30.203314,120.216270,20.0,1,6,0.3,210.0,2.1
20090812,182004,30.203314,120.216270,20.0,1,7,0.2,182.4,2.0
20090812,182005,30.203314,120.216270,20.0,1,7,0.3,222.9,2.0
20090812,182006,30.203314,120.216270,20.0,1,7,0.3,204.9,2.0
20090812,182007,30.203314,120.216270,20.0,1,7,0.2,214.2,2.0
20090812,182008,30.203314,120.216270,20.0,1,7,0.3,208.4,2.0
20090812,182009,30.203314,120.216270,20.0,1,7,0.3,197.0,2.0
20090812,182010,30.203314,120.216270,20.0,1,7,0.4,218.1,2.0
20090812,182011,30.203314,120.216270,20.0,1,7,0.3,209.0,2.0
20090812,182012,30.203314,120.216270,20.0,1,7,0.1,221.0,2.0
20090812,182013,30.203314,120.216270,20.0,1,7,0.3,205.9,2.0
20090812,182014,30.203314,120.216270,20.0,1,7,0.3,214.7,2.0
20090812,182015,30.203314,120.216270,20.0,1,7,0.3,203.3,2.0
20090812,182016,30.203314,120.216270,20.0,1,7,0.2,209.0,2.0
20090812,182017,30.203314,120.216270,20.0,1,7,0.1,175.0,2.0
20090812,182018,30.203314,120.216270,20.0,1,7,0.2,211.7,2.0
20090812,182019,30.203314,120.216270,20.0,1,7,0.2,205.2,2.0
20090812,182020,30.203314,120.216270,20.0,1,6,0.3,199.2,2.4
20090812,182021,30.203314,120.216270,20.0,1,5,0.2,200.9,2.5
20090812,182022,30.203314,120.216270,20.0,1,6,0.3,217.6,2.4
20090812,182023,30.203314,120.216270,20.0,1,7,0.3,202.4,1.5
20090812,182024,30.203314,120.216270,20.0,1,6,0.3,207.7,2.4
20090812,182025,30.203314,120.216270,20.0,1,6,0.3,222.0,1.6
20090812,182026,30.203314,120.216270,20.0,1,5,0.2,208.4,2.5
20090812,182027,30.203312,120.216270,20.0,1,6,0.2,210.6,1.6
20090812,182028,30.203312,120.216270,20.0,1,5,0.3,217.5,2.5
20090812,182029,30.203312,120.216270,20.0,1,6,0.3,207.4,1.6
20090812,182030,30.203312,120.216270,20.0,1,6,0.4,172.0,2.4
20090812,182031,30.203310,120.216278,20.0,1,7,1.0,165.0,1.5
